Subcategory	Category	HPO_term	number	HPO_text	Subcategory_old_name
not classified elsewhere	12-others	HP:0001986	1	Hypertonic dehydration	12-others
not classified elsewhere	12-others	HP:0001919	1	Acute kidney injury	12-others
not classified elsewhere	12-others	HP:0008682	1	Renal tubular epithelial necrosis	12-others
not classified elsewhere	12-others	HP:0100323	1	Juvenile aseptic necrosis	12-others
not classified elsewhere	12-others	HP:0003452	1	Increased serum iron	12-others
not classified elsewhere	12-others	HP:0025439	1	Pharyngitis	12-others
not classified elsewhere	12-others	HP:0001790	1	Nonimmune hydrops fetalis	12-others
not classified elsewhere	12-others	HP:0033165	1	Necrotizing enterocolitis	12-others
not classified elsewhere	12-others	HP:0001977	1	Abnormal thrombosis	12-others
not classified elsewhere	12-others	HP:0410151	1	Eosinophilic infiltration of the esophagus	12-others
not classified elsewhere	12-others	HP:0030005	1	Capillary leak	12-others
not classified elsewhere	12-others	HP:0005521	1	Disseminated intravascular coagulation	12-others
not classified elsewhere	12-others	HP:0032245	1	Abnormal metabolism	12-others
not classified elsewhere	12-others	HP:0002257	1	Chronic rhinitis	12-others
not classified elsewhere	12-others	HP:0012735	1	Cough	12-others
not classified elsewhere	12-others	HP:0005208	1	Secretory diarrhea	12-others
not classified elsewhere	12-others	HP:0020098	1	Herpes encephalitis	12-others
not classified elsewhere	12-others	HP:0000023	8	Inguinal hernia	12-others
not classified elsewhere	12-others	HP:0000028	27	Cryptorchidism	12-others
not classified elsewhere	12-others	HP:0006511	2	Laryngeal stridor	12-others
not classified elsewhere	12-others	HP:0002245	2	Meckel diverticulum	12-others
not classified elsewhere	12-others	HP:0001537	2	Umbilical hernia	12-others
not classified elsewhere	12-others	HP:0001791	2	Fetal ascites	12-others
not classified elsewhere	12-others	HP:0002777	2	Tracheal stenosis	12-others
not classified elsewhere	12-others	HP:0000125	2	Pelvic kidney	12-others
not classified elsewhere	12-others	HP:0010310	4	Chylothorax	12-others
not classified elsewhere	12-others	HP:0000126	4	Hydronephrosis	12-others
not classified elsewhere	12-others	HP:0004378	3	Abnormality of the anus	12-others
not classified elsewhere	12-others	HP:0000812	3	Abnormal internal genitalia	12-others
not classified elsewhere	12-others	HP:0002779	3	Tracheomalacia	12-others
not classified elsewhere	12-others	HP:0000172	1	Abnormality of the uvula	12-others
not classified elsewhere	12-others	HP:0001601	1	Laryngomalacia	12-others
not classified elsewhere	12-others	HP:0001600	1	Abnormality of the larynx	12-others
not classified elsewhere	12-others	HP:0000021	1	Megacystis	12-others
not classified elsewhere	12-others	HP:0012210	1	Abnormal renal morphology	12-others
not classified elsewhere	12-others	HP:0001627	6	Abnormal heart morphology	12-others
not classified elsewhere	12-others	HP:0002616	2	Aortic root aneurysm	12-others
not classified elsewhere	12-others	HP:0001634	2	Mitral valve prolapse	12-others
not classified elsewhere	12-others	HP:0001657	2	Prolonged QT interval	12-others
not classified elsewhere	12-others	HP:0005184	1	Prolonged QTc interval	12-others
not classified elsewhere	12-others	HP:0031481	1	Abnormal mitral valve physiology	12-others
not classified elsewhere	12-others	HP:0005133	1	Right ventricular dilatation	12-others
not classified elsewhere	12-others	HP:0004308	1	Ventricular arrhythmia	12-others
not classified elsewhere	12-others	HP:0001718	1	Mitral stenosis	12-others
not classified elsewhere	12-others	HP:0001653	5	Mitral regurgitation	12-others
not classified elsewhere	12-others	HP:0001642	4	Pulmonic stenosis	12-others
not classified elsewhere	12-others	HP:0000707	1	Abnormality of the nervous system	12-others
not classified elsewhere	12-others	HP:0001430	1	Abnormality of the calf musculature	12-others
not classified elsewhere	12-others	HP:0002829	1	Arthralgia	12-others
not classified elsewhere	12-others	HP:0004395	1	Malnutrition	12-others
not classified elsewhere	12-others	HP:0002105	1	Hemoptysis	12-others
not classified elsewhere	12-others	HP:0002953	1	Vertebral compression fractures	12-others
not classified elsewhere	12-others	HP:0002789	1	Tachypnea	12-others
not classified elsewhere	12-others	HP:0001041	1	Facial erythema	12-others
not classified elsewhere	12-others	HP:0001560	1	Abnormality of the amniotic fluid	12-others
not classified elsewhere	12-others	HP:0002922	1	Increased CSF protein	12-others
not classified elsewhere	12-others	HP:0011599	1	Mesocardia	12-others
not classified elsewhere	12-others	HP:0002286	1	Fair hair	12-others
not classified elsewhere	12-others	HP:0009796	1	Branchial cyst	12-others
not classified elsewhere	12-others	HP:0100790	1	Hernia	12-others
not classified elsewhere	12-others	HP:0002013	1	Vomiting	12-others
not classified elsewhere	12-others	HP:0000476	1	Cystic hygroma	12-others
not classified elsewhere	12-others	HP:0011290	1	EEG with frontal sharp slow waves	12-others
not classified elsewhere	12-others	HP:0002213	1	Fine hair	12-others
not classified elsewhere	12-others	HP:0032316	1	Family history	12-others
not classified elsewhere	12-others	HP:0003777	1	Pili torti	12-others
not classified elsewhere	12-others	HP:0002036	1	Hiatus hernia	12-others
not classified elsewhere	12-others	HP:000002	1	urinary incontinence	12-others
not classified elsewhere	12-others	HP:000318	1	Flat acetabular roofs	12-others
not classified elsewhere	12-others	HP:000164	1	cardiomegaly (HP:0001640)	12-others
not classified elsewhere	12-others	HP:0030680	1	Abnormality of cardiovascular system morphology	12-others
not classified elsewhere	12-others	HP:0031064	1	Impaired continence	12-others
not classified elsewhere	12-others	HP:0000613	1	Photophobia	12-others
not classified elsewhere	12-others	HP:0008070	1	Sparse hair	12-others
not classified elsewhere	12-others	HP:0011540	1	Congenitally corrected transposition of the great arteries	12-others
not classified elsewhere	12-others	HP:0003745	1	Sporadic	12-others
not classified elsewhere	12-others	HP:0000008	1	Abnormal morphology of female internal genitalia	12-others
not classified elsewhere	12-others	HP:0030012	1	Abnormal female reproductive system physiology	12-others
not classified elsewhere	12-others	HP:0011182	1	Interictal epileptiform activity	12-others
not classified elsewhere	12-others	HP:0010605	1	Chalazion	12-others
not classified elsewhere	12-others	HP:0001598	1	Concave nail	12-others
premature Birth	12-others	HP:0001622	26	Premature birth	12-Premature Birth
sleep disturbances	12-others	HP:0002189	1	obsolete Excessive daytime sleepiness	12-Sleep disorders
sleep disturbances	12-others	HP:0100785	2	Insomnia	12-Sleep disorders
sleep disturbances	12-others	HP:0002360	10	Sleep disturbance	12-Sleep disorders
sleep disturbances	12-others	HP:0006979	3	Sleep-wake cycle disturbance	12-Sleep disorders
strabismus	12-others	HP:0000486	68	Strabismus	12-Strabismus
strabismus	12-others	HP:0020045	1	Esodeviation	12-Strabismus
ataxia	2-Neuromuscular	HP:0001251	53	Ataxia	2-Ataxia
ataxia	2-Neuromuscular	HP:0002066	23	Gait ataxia	2-Ataxia
ataxia	2-Neuromuscular	HP:0002080	13	Intention tremor	2-Ataxia
ataxia	2-Neuromuscular	HP:0002070	4	Limb ataxia	2-Ataxia
ataxia	2-Neuromuscular	HP:0002078	3	Truncal ataxia	2-Ataxia
ataxia	2-Neuromuscular	HP:0002131	2	Episodic ataxia	2-Ataxia
ataxia	2-Neuromuscular	HP:0002073	2	Progressive cerebellar ataxia	2-Ataxia
ataxia	2-Neuromuscular	HP:0007240	2	Progressive gait ataxia	2-Ataxia
ataxia	2-Neuromuscular	HP:0010871	2	Sensory ataxia	2-Ataxia
ataxia	2-Neuromuscular	HP:0002470	1	Nonprogressive cerebellar ataxia	2-Ataxia
ataxia	2-Neuromuscular	HP:0002497	1	Spastic ataxia	2-Ataxia
ataxia	2-Neuromuscular	HP:0002136	2	Broad-based gait	2-Ataxia
dystonia	2-Neuromuscular	HP:0001332	46	Dystonia	2-Dystonia
dystonia	2-Neuromuscular	HP:0004373	19	Focal dystonia	2-Dystonia
dystonia	2-Neuromuscular	HP:0001336	10	Myoclonus	2-Dystonia
dystonia	2-Neuromuscular	HP:0000473	9	Torticollis	2-Dystonia
dystonia	2-Neuromuscular	HP:0012179	5	Craniofacial dystonia	2-Dystonia
dystonia	2-Neuromuscular	HP:0031960	4	Arm dystonia	2-Dystonia
dystonia	2-Neuromuscular	HP:0007325	3	Generalized dystonia	2-Dystonia
dystonia	2-Neuromuscular	HP:0012048	1	Oromandibular dystonia	2-Dystonia
dystonia	2-Neuromuscular	HP:0002530	1	Axial dystonia	2-Dystonia
dystonia	2-Neuromuscular	HP:0002451	1	Limb dystonia	2-Dystonia
dystonia	2-Neuromuscular	HP:0002544	1	Retrocollis	2-Dystonia
dystonia	2-Neuromuscular	HP:0002356	5	Writer's cramp	2-Dystonia
episodic movement disorders	2-Neuromuscular	HP:0012194	2	Episodic hemiplegia	2-Episodic movement disorders
episodic movement disorders	2-Neuromuscular	HP:0003768	2	Periodic paralysis	2-Episodic movement disorders
episodic movement disorders	2-Neuromuscular	HP:0007166	2	Paroxysmal dyskinesia	2-Episodic movement disorders
episodic movement disorders	2-Neuromuscular	HP:0100034	2	Motor tics	2-Episodic movement disorders
episodic movement disorders	2-Neuromuscular	HP:0011809	1	Paradoxical myotonia	2-Episodic movement disorders
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0001337	20	Tremor	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0002346	10	Head tremor	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0001300	5	Parkinsonism	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0000338	5	Hypomimic face	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0002378	6	Hand tremor	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0002067	3	Bradykinesia	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0002304	1	Akinesia	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0002174	2	Postural tremor	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0002063	1	Rigidity	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0002322	4	Resting tremor	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0002487	2	Hyperkinetic movements	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0002075	2	Dysdiadochokinesis	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0002310	1	Orofacial dyskinesia	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0002072	1	Chorea	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0025145	1	Rigors	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0031825	1	Freezing of gait	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0000298	1	Mask-like facies	2-Extrapyramidal signs and symptoms
extrapyramidal signs/symptoms	2-Neuromuscular	HP:0001266	1	Choreoathetosis	2-Extrapyramidal signs and symptoms
muscular hypotonia	2-Neuromuscular	HP:0001252	245	Hypotonia	2-Muscular hypotonia
muscular hypotonia	2-Neuromuscular	HP:0008936	10	Muscular hypotonia of the trunk	2-Muscular hypotonia
muscular hypotonia	2-Neuromuscular	HP:0001290	7	Generalized hypotonia	2-Muscular hypotonia
muscular hypotonia	2-Neuromuscular	HP:0001324	18	Muscle weakness	2-Muscular hypotonia
muscular hypotonia	2-Neuromuscular	HP:0001319	2	Neonatal hypotonia	2-Muscular hypotonia
muscular hypotonia	2-Neuromuscular	HP:0008947	5	Infantile muscular hypotonia	2-Muscular hypotonia
muscular hypotonia	2-Neuromuscular	HP:0000297	5	Facial hypotonia	2-Muscular hypotonia
muscular hypotonia	2-Neuromuscular	HP:0006829	2	Severe muscular hypotonia	2-Muscular hypotonia
muscular hypotonia	2-Neuromuscular	HP:0009062	2	Infantile axial hypotonia	2-Muscular hypotonia
muscular hypotonia	2-Neuromuscular	HP:0030190	1	Oral motor hypotonia	2-Muscular hypotonia
muscular hypotonia	2-Neuromuscular	HP:0011398	1	obsolete Central hypotonia	2-Muscular hypotonia
muscular hypotonia	2-Neuromuscular	HP:0002058	1	Myopathic facies	2-Muscular hypotonia
muscular hypotonia	2-Neuromuscular	HP:0002421	1	Poor head control	2-Muscular hypotonia
myopathy	2-Neuromuscular	HP:0003236	18	Elevated serum creatine kinase	2-Myopathy
myopathy	2-Neuromuscular	HP:0003201	8	Rhabdomyolysis	2-Myopathy
myopathy	2-Neuromuscular	HP:0003737	1	Mitochondrial myopathy	2-Myopathy
neuromuscular signs	2-Neuromuscular	HP:0003701	7	Proximal muscle weakness	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0031162	2	Impaired oropharyngeal swallow response	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003808	2	Abnormal muscle tone	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0000643	5	Blepharospasm	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003560	4	Muscular dystrophy	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003324	2	Generalized muscle weakness	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0002311	2	Incoordination	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003738	2	Exercise-induced myalgia	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003325	2	Limb-girdle muscle weakness	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0002486	1	Myotonia	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0000602	1	Ophthalmoplegia	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0000511	1	Vertical supranuclear gaze palsy	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0030197	1	Fatigable weakness of skeletal muscles	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0007354	1	Amyotrophic lateral sclerosis	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0012171	1	Stereotypical hand wringing	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003700	1	Generalized amyotrophy	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003199	1	Decreased muscle mass	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0001464	1	Aplasia/Hypoplasia involving the shoulder musculature	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003797	1	Limb-girdle muscle atrophy	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0002380	1	Fasciculations	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003394	4	Muscle spasm	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003710	3	Exercise-induced muscle cramps	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0001276	3	Hypertonia	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0000317	2	Facial myokymia	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0030182	1	Tetraplegia/tetraparesis	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0000211	1	Trismus	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003741	1	Congenital muscular dystrophy	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003457	1	EMG abnormality	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0008956	1	Proximal lower limb amyotrophy	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0100614	1	Myositis	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0020035	1	Lower limb dysmetria	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003690	1	Limb muscle weakness	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003712	1	Skeletal muscle hypertrophy	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003749	1	Pelvic girdle muscle weakness	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003323	1	Progressive muscle weakness	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0008991	1	Exercise-induced leg cramps	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003698	1	Difficulty standing	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0009027	1	Foot dorsiflexor weakness	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0002172	1	Postural instability	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003326	11	Myalgia	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0002370	11	Poor coordination	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0002275	10	Poor motor coordination	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003202	6	Skeletal muscle atrophy	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003198	26	Myopathy	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0002071	1	Abnormality of extrapyramidal motor function	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0007256	1	Abnormal pyramidal sign	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0001265	1	Hyporeflexia	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0002312	1	Clumsiness	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0010543	1	Opsoclonus	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0002374	1	Diminished movement	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0010831	1	Impaired proprioception	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0001284	3	Areflexia	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0007010	3	Poor fine motor coordination	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0100660	5	Dyskinesia	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0030051	3	Tip-toe gait	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0002375	3	Hypokinesia	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0100022	4	Abnormality of movement	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0002333	3	Motor deterioration	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0001288	20	Gait disturbance	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0002141	6	Gait imbalance	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0002359	3	Frequent falls	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0007015	2	Poor gross motor coordination	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0002317	1	Unsteady gait	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0001260	22	Dysarthria	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0007340	1	Lower limb muscle weakness	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0002355	1	Difficulty walking	2-Neuromuscular signs
neuromuscular signs	2-Neuromuscular	HP:0003691	1	Scapular winging	2-Neuromuscular signs
neuropathy	2-Neuromuscular	HP:0001271	17	Polyneuropathy	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0007141	5	Sensorimotor neuropathy	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0007002	5	Motor axonal neuropathy	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0003477	3	Peripheral axonal neuropathy	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0003390	3	Sensory axonal neuropathy	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0000763	2	Sensory neuropathy	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0003434	1	Sensory ataxic neuropathy	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0009830	2	Peripheral neuropathy	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0007108	1	Demyelinating peripheral neuropathy	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0007220	1	Demyelinating motor neuropathy	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0007327	1	Mixed demyelinating and axonal polyneuropathy	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0003401	5	Paresthesia	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0007021	2	Pain insensitivity	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0003474	1	Sensory impairment	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0003384	1	Peripheral axonal atrophy	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0002495	1	Impaired vibratory sensation	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0010628	3	Facial palsy	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0007328	3	Impaired pain sensation	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0001112	1	Leber optic atrophy	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0003376	1	Steppage gait	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0002522	1	Areflexia of lower limbs	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0008075	1	Progressive pes cavus	2-Neuropathy
neuropathy	2-Neuromuscular	HP:0010832	1	Abnormality of pain sensation	2-Neuropathy
paresis	2-Neuromuscular	HP:0006597	3	Diaphragmatic paralysis	2-Paresis
paresis	2-Neuromuscular	HP:0001269	2	Hemiparesis	2-Paresis
paresis	2-Neuromuscular	HP:0004374	1	Hemiplegia/hemiparesis	2-Paresis
paresis	2-Neuromuscular	HP:0010551	1	Paraplegia/paraparesis	2-Paresis
paresis	2-Neuromuscular	HP:0007209	1	Facial paralysis	2-Paresis
paresis	2-Neuromuscular	HP:0002273	3	Tetraparesis	2-Paresis
paresis	2-Neuromuscular	HP:0012246	1	Oculomotor nerve palsy	2-Paresis
paresis	2-Neuromuscular	HP:0002385	3	Paraparesis	2-Paresis
paresis	2-Neuromuscular	HP:0001488	1	Bilateral ptosis	2-Paresis
spasticity	2-Neuromuscular	HP:0001257	12	Spasticity	2-Spasticity
spasticity	2-Neuromuscular	HP:0001285	12	Spastic tetraparesis	2-Spasticity
spasticity	2-Neuromuscular	HP:0001347	5	Hyperreflexia	2-Spasticity
spasticity	2-Neuromuscular	HP:0002313	8	Spastic paraparesis	2-Spasticity
spasticity	2-Neuromuscular	HP:0002064	3	Spastic gait	2-Spasticity
spasticity	2-Neuromuscular	HP:0002509	2	Limb hypertonia	2-Spasticity
spasticity	2-Neuromuscular	HP:0003487	2	Babinski sign	2-Spasticity
spasticity	2-Neuromuscular	HP:0002395	2	Lower limb hyperreflexia	2-Spasticity
spasticity	2-Neuromuscular	HP:0006895	5	Lower limb hypertonia	2-Spasticity
spasticity	2-Neuromuscular	HP:0002061	3	Lower limb spasticity	2-Spasticity
spasticity	2-Neuromuscular	HP:0002510	1	Spastic tetraplegia	2-Spasticity
spasticity	2-Neuromuscular	HP:0200049	1	Upper limb hypertonia	2-Spasticity
spasticity	2-Neuromuscular	HP:0031957	2	Spastic hemiparetic gait	2-Spasticity
spasticity	2-Neuromuscular	HP:0001258	1	Spastic paraplegia	2-Spasticity
seizures	3-Seizures	HP:0001250	168	Seizure	3-Seizures
seizures	3-Seizures	HP:0200134	14	Epileptic encephalopathy	3-Seizures
seizures	3-Seizures	HP:0002121	13	Generalized non-motor (absence) seizure	3-Seizures
seizures	3-Seizures	HP:0040168	5	obsolete Focal seizures, afebril	3-Seizures
seizures	3-Seizures	HP:0002197	6	Generalized-onset seizure	3-Seizures
seizures	3-Seizures	HP:0002069	8	Bilateral tonic-clonic seizure	3-Seizures
seizures	3-Seizures	HP:0007334	1	Bilateral tonic-clonic seizure with focal onset	3-Seizures
seizures	3-Seizures	HP:0011167	1	Focal tonic seizure	3-Seizures
seizures	3-Seizures	HP:0010819	1	Atonic seizure	3-Seizures
seizures	3-Seizures	HP:0011292	2	EEG with occipital sharp waves	3-Seizures
seizures	3-Seizures	HP:0010851	2	EEG with burst suppression	3-Seizures
seizures	3-Seizures	HP:0011197	2	EEG with focal spike waves	3-Seizures
seizures	3-Seizures	HP:0011296	2	EEG with temporal sharp waves	3-Seizures
seizures	3-Seizures	HP:0012014	1	EEG with central focal spikes	3-Seizures
seizures	3-Seizures	HP:0012018	1	EEG with temporal focal spikes	3-Seizures
seizures	3-Seizures	HP:0010850	1	EEG with spike-wave complexes	3-Seizures
seizures	3-Seizures	HP:0007359	2	Focal-onset seizure	3-Seizures
seizures	3-Seizures	HP:0002123	2	Generalized myoclonic seizure	3-Seizures
seizures	3-Seizures	HP:0011175	2	Focal motor seizure with version	3-Seizures
seizures	3-Seizures	HP:0011147	1	Typical absence seizure	3-Seizures
seizures	3-Seizures	HP:0002133	1	Status epilepticus	3-Seizures
seizures	3-Seizures	HP:0011152	1	Early onset absence seizures	3-Seizures
seizures	3-Seizures	HP:0002521	2	Hypsarrhythmia	3-Seizures
seizures	3-Seizures	HP:0011097	3	Epileptic spasm	3-Seizures
seizures	3-Seizures	HP:0011165	1	Focal sensory seizure with visual features	3-Seizures
seizures	3-Seizures	HP:0011196	1	EEG with focal sharp waves	3-Seizures
seizures	3-Seizures	HP:0011191	1	Unilateral multifocal epileptiform discharges	3-Seizures
seizures	3-Seizures	HP:0012469	1	Infantile spasms	3-Seizures
seizures	3-Seizures	HP:0002384	1	Focal impaired awareness seizure	3-Seizures
seizures	3-Seizures	HP:0011159	1	Focal autonomic seizure with epigastric sensation/nausea/vomiting/other gastrointestinal phenomena	3-Seizures
seizures	3-Seizures	HP:0011294	1	EEG with frontal sharp waves	3-Seizures
seizures	3-Seizures	HP:0025613	1	Focal emotional seizure	3-Seizures
seizures	3-Seizures	HP:000125	1	seizures	3-Seizures
abn. of growth	4-Growth abnormalities of head	HP:0001508	43	Failure to thrive	4-Growth disorders
abn. of growth	4-Growth abnormalities of head	HP:0000098	12	Tall stature	4-Growth disorders
abn. of growth	4-Growth abnormalities of head	HP:0001525	2	Severe failure to thrive	4-Growth disorders
abn. of growth	4-Growth abnormalities of head	HP:0001531	2	Failure to thrive in infancy	4-Growth disorders
abn. of growth	4-Growth abnormalities of head	HP:0008873	1	Disproportionate short-limb short stature	4-Growth disorders
abn. of growth	4-Growth abnormalities of head	HP:0009824	1	Upper limb undergrowth	4-Growth disorders
abn. of growth	4-Growth abnormalities of head	HP:0008872	4	Feeding difficulties in infancy	4-Growth disorders
abn. of growth	4-Growth abnormalities of head	HP:0045082	1	Decreased body mass index	4-Growth disorders
abn. of growth	4-Growth abnormalities of head	HP:0000002	1	Abnormality of body height	4-Growth disorders
abn. of growth	4-Growth abnormalities of head	HP:0002033	1	Poor suck	4-Growth disorders
micro-/macrocephaly	4-Growth abnormalities of head	HP:0000256	29	Macrocephaly	4-Macrocephaly
micro-/macrocephaly	4-Growth abnormalities of head	HP:0004482	7	Relative macrocephaly	4-Macrocephaly
micro-/macrocephaly	4-Growth abnormalities of head	HP:0005490	1	Postnatal macrocephaly	4-Macrocephaly
micro-/macrocephaly	4-Growth abnormalities of head	HP:0000252	212	Microcephaly	4-Microcephaly
micro-/macrocephaly	4-Growth abnormalities of head	HP:0005484	12	Postnatal microcephaly	4-Microcephaly
micro-/macrocephaly	4-Growth abnormalities of head	HP:0011451	9	Congenital microcephaly	4-Microcephaly
micro-/macrocephaly	4-Growth abnormalities of head	HP:0040196	3	Mild microcephaly	4-Microcephaly
micro-/macrocephaly	4-Growth abnormalities of head	HP:0000253	1	Progressive microcephaly	4-Microcephaly
short stature / growth delay	4-Growth abnormalities of head	HP:0004322	133	Short stature	4-Only short stature / growth delay
short stature / growth delay	4-Growth abnormalities of head	HP:0001510	5	Growth delay	4-Only short stature / growth delay
